"DateTime","Average","All Nations University (Main Campus) A","All Nations University (Main Campus) B"
"2024-12-20 15:10:00",1238.6,2228,113
"2024-12-20 15:20:00",,2223,106
"2024-12-20 15:30:00",,2218,122
"2024-12-20 15:40:00",,2228,126
"2024-12-20 15:50:00",,2227,118
"2024-12-20 16:00:00",,2240,129
"2024-12-20 16:10:00",,2255,134
"2024-12-20 16:20:00",,2258,130
"2024-12-20 16:30:00",,2263,122
"2024-12-20 16:40:00",,2275,129
"2024-12-20 16:50:00",,2285,128
"2024-12-20 17:00:00",,2295,151
"2024-12-20 17:10:00",,2303,132
"2024-12-20 17:20:00",,2312,125
"2024-12-20 17:30:00",,2321,128
"2024-12-20 17:40:00",,2336,130
"2024-12-20 17:50:00",,2348,132
"2024-12-20 18:00:00",,2358,138
"2024-12-20 18:10:00",,2365,124
"2024-12-20 18:20:00",,2373,130
"2024-12-20 18:30:00",,2370,134
"2024-12-20 18:40:00",,2376,121
"2024-12-20 18:50:00",,2377,151
"2024-12-20 19:00:00",,2376,265
"2024-12-20 19:10:00",,2374,177
"2024-12-20 19:20:00",,2376,164
"2024-12-20 19:30:00",,2375,162
"2024-12-20 19:40:00",,2375,166
"2024-12-20 19:50:00",,2376,169
"2024-12-20 20:00:00",,2375,167
"2024-12-20 20:10:00",,2376,173
"2024-12-20 20:20:00",,2374,174
"2024-12-20 20:30:00",,2375,168
"2024-12-20 20:40:00",,2376,169
"2024-12-20 20:50:00",,2375,193
"2024-12-20 21:00:00",,2377,262
"2024-12-20 21:10:00",,2375,224
"2024-12-20 21:20:00",,2374,238
"2024-12-20 21:30:00",,2374,199
"2024-12-20 21:40:00",,2375,177
"2024-12-20 21:50:00",,2375,171
"2024-12-20 22:00:00",,2375,169
"2024-12-20 22:10:00",,2376,170
"2024-12-20 22:20:00",,2376,194
"2024-12-20 22:30:00",,2374,178
"2024-12-20 22:40:00",,2375,169
"2024-12-20 22:50:00",,2374,175
"2024-12-20 23:00:00",,2376,167
"2024-12-20 23:10:00",,2375,163
"2024-12-20 23:20:00",,2376,160
"2024-12-20 23:30:00",,2375,167
"2024-12-20 23:40:00",,2376,178
"2024-12-20 23:50:00",,2375,171
"2024-12-21 00:00:00",,2375,160
"2024-12-21 00:10:00",,2376,159
"2024-12-21 00:20:00",,2375,155
"2024-12-21 00:30:00",,2375,153
"2024-12-21 00:40:00",,2375,153
"2024-12-21 00:50:00",,2376,152
"2024-12-21 01:00:00",,2375,153
"2024-12-21 01:10:00",,2374,151
"2024-12-21 01:20:00",,2376,151
"2024-12-21 01:30:00",,2377,156
"2024-12-21 01:40:00",,2376,161
"2024-12-21 01:50:00",,2376,157
"2024-12-21 02:00:00",,2377,156
"2024-12-21 02:10:00",,2376,156
"2024-12-21 02:20:00",,2376,157
"2024-12-21 02:30:00",,2375,158
"2024-12-21 02:40:00",,2375,161
"2024-12-21 02:50:00",,2374,168
"2024-12-21 03:00:00",,2375,170
"2024-12-21 03:10:00",,2374,169
"2024-12-21 03:20:00",,2375,168
"2024-12-21 03:30:00",,2374,166
"2024-12-21 03:40:00",,2375,162
"2024-12-21 03:50:00",,2376,163
"2024-12-21 04:00:00",,2373,163
"2024-12-21 04:10:00",,2376,162
"2024-12-21 04:20:00",,2376,163
"2024-12-21 04:30:00",,2376,165
"2024-12-21 04:40:00",,2375,164
"2024-12-21 10:00:00",,2267,153
"2024-12-21 10:10:00",,2273,153
"2024-12-21 10:20:00",,2277,154
"2024-12-21 10:30:00",,2264,157
"2024-12-21 10:40:00",,2237,157
"2024-12-21 10:50:00",,2218,158
"2024-12-21 11:00:00",,2211,158
"2024-12-21 11:10:00",,2197,149
"2024-12-21 11:20:00",,2196,142
"2024-12-21 11:30:00",,2196,140
"2024-12-21 11:40:00",,2181,139
"2024-12-21 11:50:00",,2175,136
"2024-12-21 12:00:00",,2171,132
"2024-12-21 12:10:00",,2180,133
"2024-12-21 12:20:00",,2171,132
"2024-12-21 12:30:00",,2176,132
"2024-12-21 12:40:00",,2186,130
"2024-12-21 12:50:00",,2190,134
"2024-12-21 13:00:00",,2184,129
"2024-12-21 13:10:00",,2202,130
"2024-12-21 13:20:00",,2203,131
"2024-12-21 13:30:00",,2205,129
"2024-12-21 13:40:00",,2220,123
"2024-12-21 13:50:00",,2226,124
"2024-12-21 14:00:00",,2225,123
"2024-12-21 14:10:00",,2235,124
"2024-12-21 14:20:00",,2217,123
"2024-12-21 14:30:00",,2223,108
"2024-12-21 14:40:00",,2235,114
"2024-12-21 14:50:00",,2240,108
"2024-12-21 15:00:00",,2245,105
"2024-12-21 15:10:00",,2249,106
"2024-12-21 15:20:00",,2250,116
"2024-12-21 15:30:00",,2257,106
"2024-12-21 15:40:00",,2264,105
"2024-12-21 15:50:00",,2272,97
"2024-12-21 16:00:00",,2277,96
"2024-12-21 16:10:00",,2275,100
"2024-12-21 16:20:00",,2277,102
"2024-12-21 16:30:00",,2284,110
"2024-12-21 16:40:00",,2282,117
"2024-12-21 16:50:00",,2287,123
"2024-12-21 17:00:00",,2290,133
"2024-12-21 17:10:00",,2299,134
"2024-12-21 17:20:00",,2309,152
"2024-12-21 17:30:00",,2324,136
"2024-12-21 17:40:00",,2341,154
"2024-12-21 17:50:00",,2349,132
"2024-12-21 18:00:00",,2361,124
"2024-12-21 18:10:00",,2372,132
"2024-12-21 18:20:00",,2375,142
"2024-12-21 18:30:00",,2375,158
"2024-12-21 18:40:00",,2375,152
"2024-12-21 18:50:00",,2369,167
"2024-12-21 19:00:00",,2369,159
"2024-12-21 19:10:00",,2374,152
"2024-12-21 19:20:00",,2375,159
"2024-12-21 19:30:00",,2374,164
"2024-12-21 19:40:00",,2376,330
"2024-12-21 19:50:00",,2374,361
"2024-12-21 20:00:00",,2378,254
"2024-12-21 20:10:00",,2376,185
"2024-12-21 20:20:00",,2376,172
"2024-12-21 20:30:00",,2373,199
"2024-12-21 20:40:00",,2376,190
"2024-12-21 20:50:00",,2376,171
"2024-12-21 21:00:00",,2375,175
"2024-12-21 21:10:00",,2376,175
"2024-12-21 21:20:00",,2374,171
"2024-12-21 21:30:00",,2374,166
"2024-12-21 21:40:00",,2375,165
"2024-12-21 21:50:00",,2375,161
"2024-12-21 22:00:00",,2374,160
"2024-12-21 22:10:00",,2376,166
"2024-12-21 22:20:00",,2377,168
"2024-12-21 22:30:00",,2376,166
"2024-12-21 22:40:00",,2375,164
"2024-12-21 22:50:00",,2376,163
"2024-12-21 23:00:00",,2376,163
"2024-12-21 23:10:00",,2375,164
"2024-12-21 23:20:00",,2375,166
"2024-12-21 23:30:00",,2376,166
"2024-12-21 23:40:00",,2377,165
"2024-12-21 23:50:00",,2375,160
"2024-12-22 00:00:00",,2374,160
"2024-12-22 00:10:00",,2374,161
"2024-12-22 00:20:00",,2375,162
"2024-12-22 00:30:00",,2376,163
"2024-12-22 00:40:00",,2373,164
"2024-12-22 00:50:00",,2375,163
"2024-12-22 01:00:00",,2376,163
"2024-12-22 01:10:00",,2374,166
"2024-12-22 01:20:00",,2375,167
"2024-12-22 01:30:00",,2376,168
"2024-12-22 01:40:00",,2375,168
"2024-12-22 01:50:00",,2374,166
"2024-12-22 02:00:00",,2375,165
"2024-12-22 02:10:00",,2376,169
"2024-12-22 02:20:00",,2375,169
"2024-12-22 02:30:00",,2376,170
"2024-12-22 02:40:00",,2375,173
"2024-12-22 02:50:00",,2376,169
"2024-12-22 03:00:00",,2374,170
"2024-12-22 03:10:00",,2375,170
"2024-12-22 03:20:00",,2375,172
"2024-12-22 03:30:00",,2374,171
"2024-12-22 03:40:00",,2375,169
"2024-12-22 03:50:00",,2375,171
"2024-12-22 04:00:00",,2375,171
"2024-12-22 04:10:00",,2375,174
"2024-12-22 04:20:00",,2374,174
"2024-12-22 04:30:00",,2376,172
"2024-12-22 04:40:00",,2376,173
"2024-12-22 04:50:00",,2374,173
"2024-12-22 05:00:00",,2376,173
"2024-12-22 05:10:00",,2376,173
"2024-12-22 05:20:00",,2376,173
"2024-12-22 05:30:00",,2375,173
"2024-12-22 05:40:00",,2376,173
"2024-12-22 05:50:00",,2377,173
"2024-12-22 06:00:00",,2374,174
"2024-12-22 06:10:00",,2376,220
"2024-12-22 06:20:00",,2375,196
"2024-12-22 06:30:00",,2375,208
"2024-12-22 06:40:00",,2375,188
"2024-12-22 06:50:00",,2375,183
"2024-12-22 07:00:00",,2375,180
"2024-12-22 07:10:00",,2375,176
"2024-12-22 07:20:00",,2375,178
"2024-12-22 07:30:00",,2375,185
"2024-12-22 07:40:00",,2375,189
"2024-12-22 07:50:00",,2373,203
"2024-12-22 08:00:00",,2375,245
"2024-12-22 08:10:00",,2375,317
"2024-12-22 08:20:00",,2375,256
"2024-12-22 08:30:00",,2374,243
"2024-12-22 08:40:00",,2375,208
"2024-12-22 08:50:00",,2374,196
"2024-12-22 09:00:00",,2376,194
"2024-12-22 09:10:00",,2375,194
"2024-12-22 09:20:00",,2370,191
"2024-12-22 09:30:00",,2337,189
"2024-12-22 09:40:00",,2316,176
"2024-12-22 09:50:00",,2322,161
"2024-12-22 10:00:00",,2343,158
"2024-12-22 10:10:00",,2371,157
"2024-12-22 10:20:00",,2371,156
"2024-12-22 10:30:00",,2363,153
"2024-12-22 10:40:00",,2353,156
"2024-12-22 10:50:00",,2324,154
"2024-12-22 11:00:00",,2316,139
"2024-12-22 11:10:00",,2323,137
"2024-12-22 11:20:00",,2295,143
"2024-12-22 11:30:00",,2289,138
"2024-12-22 11:40:00",,2286,129
"2024-12-22 11:50:00",,2236,136
"2024-12-22 12:00:00",,2227,146
"2024-12-22 12:10:00",,2204,149
"2024-12-22 12:20:00",,2194,131
"2024-12-22 12:30:00",,2184,128
"2024-12-22 12:40:00",,2188,127
"2024-12-22 12:50:00",,2173,123
"2024-12-22 13:00:00",,2173,121
"2024-12-22 13:10:00",,2161,121
"2024-12-22 13:20:00",,2152,118
"2024-12-22 13:30:00",,2148,119
"2024-12-22 13:40:00",,2163,119
"2024-12-22 13:50:00",,2167,117
"2024-12-22 14:00:00",,2170,118
"2024-12-22 14:10:00",,2179,120
"2024-12-22 14:20:00",,2172,121
"2024-12-22 14:30:00",,2171,119
"2024-12-22 14:40:00",,2175,118
"2024-12-22 14:50:00",,2171,118
"2024-12-22 15:00:00",,2177,118
"2024-12-22 15:10:00",,2186,120
"2024-12-22 15:20:00",,2207,121
"2024-12-22 15:30:00",,2214,122
"2024-12-22 15:40:00",,2223,119
"2024-12-22 15:50:00",,2243,120
"2024-12-22 16:00:00",,2251,118
"2024-12-22 16:10:00",,2253,117
"2024-12-22 16:20:00",,2266,117
"2024-12-22 16:30:00",,2271,120
"2024-12-22 16:40:00",,2278,120
"2024-12-22 16:50:00",,2286,121
"2024-12-22 17:00:00",,2294,123
"2024-12-22 17:10:00",,2309,123
"2024-12-22 17:20:00",,2321,123
"2024-12-22 17:30:00",,2331,127
"2024-12-22 17:40:00",,2348,165
"2024-12-22 17:50:00",,2375,152
"2024-12-22 18:00:00",,2377,152
"2024-12-22 18:10:00",,2377,153
"2024-12-22 18:20:00",,2376,153
"2024-12-22 18:30:00",,2376,137
"2024-12-22 18:40:00",,2377,141
"2024-12-22 18:50:00",,2376,153
"2024-12-22 19:00:00",,2375,404
"2024-12-22 19:10:00",,2375,179
"2024-12-22 19:20:00",,2374,153
"2024-12-22 19:30:00",,2376,146
"2024-12-22 19:40:00",,2375,155
"2024-12-22 19:50:00",,2376,154
"2024-12-22 20:00:00",,2375,153
"2024-12-22 20:10:00",,2374,146
"2024-12-22 20:20:00",,2376,151
"2024-12-22 20:30:00",,2375,151
"2024-12-23 00:10:00",,2376,154
"2024-12-23 00:20:00",,2376,155
"2024-12-23 00:30:00",,2376,154
"2024-12-23 00:40:00",,2376,153
"2024-12-23 00:50:00",,2376,154
"2024-12-23 01:00:00",,2377,151
"2024-12-23 01:10:00",,2375,151
"2024-12-23 01:20:00",,2376,148
"2024-12-23 01:30:00",,2375,148
"2024-12-23 01:40:00",,2377,151
"2024-12-23 01:50:00",,2376,151
"2024-12-23 02:00:00",,2376,153
"2024-12-23 02:10:00",,2375,155
"2024-12-23 02:20:00",,2376,155
"2024-12-23 02:30:00",,2376,154
"2024-12-23 02:40:00",,2375,154
"2024-12-23 02:50:00",,2375,155
"2024-12-23 03:00:00",,2375,157
"2024-12-23 03:10:00",,2375,158
"2024-12-23 03:20:00",,2376,158
"2024-12-23 03:30:00",,2376,158
"2024-12-23 03:40:00",,2375,158
"2024-12-23 03:50:00",,2376,157
"2024-12-23 04:00:00",,2376,158
"2024-12-23 04:10:00",,2375,158
"2024-12-23 04:20:00",,2375,159
"2024-12-23 04:30:00",,2374,157
"2024-12-23 04:40:00",,2376,154
"2024-12-23 04:50:00",,2376,154
"2024-12-23 05:00:00",,2376,154
"2024-12-23 05:10:00",,2374,157
"2024-12-23 05:20:00",,2374,155
"2024-12-23 05:30:00",,2374,155
"2024-12-23 05:40:00",,2376,158
"2024-12-23 05:50:00",,2374,164
"2024-12-23 06:00:00",,2376,172
"2024-12-23 06:10:00",,2376,160
"2024-12-23 06:20:00",,2375,159
"2024-12-23 06:30:00",,2376,158
"2024-12-23 06:40:00",,2375,161
"2024-12-23 06:50:00",,2375,159
"2024-12-23 07:00:00",,2376,159
"2024-12-23 07:10:00",,2376,159
"2024-12-23 07:20:00",,2375,160
"2024-12-23 07:30:00",,2375,162
"2024-12-23 07:40:00",,2375,164
"2024-12-23 07:50:00",,2375,162
"2024-12-23 08:00:00",,2375,161
"2024-12-23 08:10:00",,2374,165
"2024-12-23 08:20:00",,2374,161
"2024-12-23 08:30:00",,2375,159
"2024-12-23 08:40:00",,2376,157
"2024-12-23 08:50:00",,2374,153
"2024-12-23 09:00:00",,2375,152
"2024-12-23 09:10:00",,2374,151
"2024-12-23 09:20:00",,2373,145
"2024-12-23 09:30:00",,2375,158
"2024-12-23 09:40:00",,2374,153
"2024-12-23 09:50:00",,2351,148
"2024-12-23 10:00:00",,2322,144
"2024-12-23 10:10:00",,2299,137
"2024-12-23 10:20:00",,2278,131
"2024-12-23 10:30:00",,2258,140
"2024-12-23 10:40:00",,2242,139
"2024-12-23 10:50:00",,2245,138
"2024-12-23 11:00:00",,2239,131
"2024-12-23 11:10:00",,2227,127
"2024-12-23 11:20:00",,2211,127
"2024-12-23 11:30:00",,2203,126
"2024-12-23 11:40:00",,2188,129
"2024-12-23 11:50:00",,2180,134
"2024-12-23 12:00:00",,2163,128
"2024-12-23 12:10:00",,2167,127
"2024-12-23 12:20:00",,2190,127
"2024-12-23 12:30:00",,2200,130
"2024-12-23 12:40:00",,2200,150
"2024-12-23 12:50:00",,2188,127
"2024-12-23 13:00:00",,2178,125
"2024-12-23 13:10:00",,2178,124
"2024-12-23 13:20:00",,2179,120
"2024-12-23 13:30:00",,2176,118
"2024-12-23 13:40:00",,2166,116
"2024-12-23 13:50:00",,2162,117
"2024-12-23 14:00:00",,2167,117
"2024-12-23 14:10:00",,2174,112
"2024-12-23 14:20:00",,2192,108
"2024-12-23 14:30:00",,2190,114
"2024-12-23 14:40:00",,2197,153
"2024-12-23 14:50:00",,2201,124
"2024-12-23 15:00:00",1238.6,2205,111